question
 Write steps to install Linux Operating System.
How you will record all the activities performed by the user on terminal?
 Give a command to display calendar for month of January 2025.
 Find your weekday of birth in the year 2030.
 Give single statement command to display the calendar of previous current & next month.
Give the command to display full week day.
Give command for present working directory.
 List currently logged in users using command.
Acquire the status of super user.
Write use and output for following commands.
